,datetime,message,negativity,neutrality,positivity,compound,city,oblast
0,"07:38 AM, 02 Jan 2023","⚡️ Air Defense destroyed 39 checkers, two Orlan-10s and an X-59 On the night of January 1 to 2, 2023, the occupiers carried out a massive strike against Iranian-made Shahed-131/136 kamikaze drones. All 39 attack UAVs were destroyed. In addition, the sky defenders destroyed two Orlan-10 operational-tactical UAVs and an X-59 guided air-to-air missile.",0.229,0.726,0.045,-0.9081,n/a,n/a
1,"07:38 AM, 02 Jan 2023","👊🏼 Border guards shot down an enemy drone in Donetsk region The drone was spying on the actions of our Defense Forces. On the ""bird"" of the occupants opened fire from small arms. The quadcopter went down near the positions of our defenders.",0.124,0.818,0.059,-0.6249,Donetsk,Donetsk
2,"07:38 AM, 02 Jan 2023","😭Volunteers in Bakhmut said that due to the lack of water in the city they have to risk their lives to get it from the river ""We have no water at all. We draw rainwater, bathe, and wash. We draw water from the Bakhmutka River. They brought us pills that we use to clean the water and drink it,"" said a volunteer named Oleksiy. Just across the river there are already positions of the occupants. Alexei says he's scared to go for water because he's been hit by shelling there five times already, but he has to survive somehow.",0.066,0.915,0.018,-0.4404,Bakhmut,Donetsk
3,"07:38 AM, 02 Jan 2023","💙💛""Birdie"" from Azovstal sang ""Oh, there's a red viburnum in the meadow"" on Sophia Square in Kyiv",0.0,1.0,0.0,0.0,Kyiv,Kyiv
4,"07:39 AM, 02 Jan 2023","🤝 More than 20 thousand Ukrainian military have already been trained abroad - Gromov Training is conducted in Poland, the Czech Republic, Slovakia and by U.S. forces in Germany. In particular, specialists are being trained to use foreign weapons and military equipment arriving in the framework of technical assistance. In addition, training of ""narrow"" specialists - sappers, combat medics, advanced aviation and artillery spotters, divers, reconnaissance personnel, non-commissioned officers, and RCBM specialists - is conducted on EU territory.",0.068,0.907,0.026,-0.5106,n/a,n/a
5,"07:48 AM, 02 Jan 2023","The territory of Ukraine is still contaminated with explosive hazards! If you come across a suspicious find, remember three simple rules: Do not approach! Do not touch! Call 101! https://t.me/operativnoZSU",0.116,0.884,0.0,-0.5673,n/a,n/a
6,"07:48 AM, 02 Jan 2023","Emergency power outages in Kyiv - DTEK. ""They were applied because the energy infrastructure of the capital was damaged as a result of the night attack. Power engineers are working to stabilize the situation,"" the statement said. 👉 Subscribe to ZN.UA",0.192,0.761,0.047,-0.7579,Kyiv,Kyiv
7,"07:48 AM, 02 Jan 2023","The situation on the border in Sumy region as of this morning, Dmytro Zhyvytsky reports: ▪️After 22 hours, on January 1, Russians shelled Myropilska community with artillery, 8 arrivals. And around 23 hours they fired mortars at the Krasnopil community. There were 5 arrivals. In both cases, there were no casualties or destruction. The rest of the night was without shelling. https://t.me/operativnoZSU",0.143,0.857,0.0,-0.8591,Sumy,Sumy
8,"07:48 AM, 02 Jan 2023",,0.0,0.0,0.0,0.0,n/a,n/a
9,"07:48 AM, 02 Jan 2023","💡 As of this morning, there are no power outages in Lviv region During the day, the situation may change and a schedule of hourly outages will come into effect, - Kozitskyi 🇺🇦 Lviv 24/7",0.066,0.934,0.0,-0.296,Lviv,Dnipro-petrovsk
