,datetime,message,negativity,neutrality,positivity,compound,city,oblast
0,"09:52 AM, 03 Jan 2023","Another ""actor"": Media finds second straw man in Putin greeting The face recognition service identified the guy who stood to the left behind the Russian president. It seems that his name is Timofey. It is noteworthy that the guy has a star of the hero of Russia on his chest, but over the past three years, no one with this name has officially received this award. https://t.me/operativnoZSU",0.038,0.831,0.131,0.7898,n/a,n/a
1,"09:55 AM, 03 Jan 2023","DIU: Russia does not plan to end war against Ukraine, but prepares new offensives ""According to the military intelligence of Ukraine, the Russians will try to continue offensive actions next year. They failed to achieve their goal on any of the directions. They understand that they are losing, but they do not plan to end the war. We consider the possibility that they may simultaneously withdraw from the north or east. Such actions of the enemy are foreseen and our troops are ready for it,"" the representative of the Defence Intelligence of Ukraine noted.",0.217,0.676,0.107,-0.9377,n/a,n/a
2,"09:56 AM, 03 Jan 2023",,0.0,0.0,0.0,0.0,n/a,n/a
3,"09:56 AM, 03 Jan 2023","Goodbye to the masks! The ""MILAN"" missile system of the ""Volat"" battalion of the Palka Kalinovska battalion was practiced at the observation point. We are on the guard of the city, which for several months has been trying to ""take"" the troops of the invaders. We are sending both ""mobiles"" and ""musicians"", who, like all other ordinary people, return home in bags.",0.0,0.956,0.044,0.4199,n/a,n/a
4,"09:59 AM, 03 Jan 2023","The General Staff confirmed the enemy's fire near Chulakivka, Kherson region. The occupiers' losses amounted to about 500 wounded and killed. @strichka_ua - stay up to date",0.294,0.706,0.0,-0.8625,Kherson,Kherson
5,"09:59 AM, 03 Jan 2023","Representative of the Defence Intelligence of Ukraine Andrii Cherniak: Russia has no plans to end the war against Ukraine ""According to the military intelligence of Ukraine, the Russians will try to continue offensive actions next year. They failed to achieve their goal on any of the directions. They understand that they are losing, but they do not plan to end the war. We consider the possibility that they may simultaneously withdraw from the north or east. Such actions of the enemy are expected and our troops are ready for it,"" the representative of the Defence Intelligence of Ukraine noted. Andrii Cherniak is sure that Russians will try to hold the land corridor to Crimea and capture the entire Donetsk region. However, in his opinion, the occupants will not be able to force the Dnipro river to recapture Kherson. ""According to the military intelligence of Ukraine, over the next 4-5 months the Russian army may lose up to 70 thousand people"". @strichka_ua - stay up to date",0.122,0.768,0.11,-0.5023,Dnipro,Dnipro-petrovsk
6,"10:01 AM, 03 Jan 2023","There is a possibility that Russians may simultaneously go on the offensive from the north or east, - representative of the Defence Intelligence of Ukraine Andriy Cherniak said. ""According to the military intelligence of Ukraine, the Russians will try to continue their offensive. They failed to achieve their goal in any of the directions. They understand that they are losing, but they do not plan to end the war. We consider the possibility that they may simultaneously withdraw from the north or east. Such actions of the enemy are expected and our troops are ready for it,"" noted the representative of the Ukrainian intelligence. 👉 Subscribe to ZN.UA",0.145,0.754,0.102,-0.7469,n/a,n/a
7,"10:01 AM, 03 Jan 2023",,0.0,0.0,0.0,0.0,n/a,n/a
8,"10:01 AM, 03 Jan 2023",,0.0,0.0,0.0,0.0,n/a,n/a
9,"10:01 AM, 03 Jan 2023",The water level in the Dnieper River has dropped. Local publishes relevant photos.,0.0,1.0,0.0,0.0,n/a,n/a
10,"10:01 AM, 03 Jan 2023",More footage of the results of the shelling of the Altair Ice Arena in Druzhkivka.,0.0,1.0,0.0,0.0,n/a,n/a
11,"10:03 AM, 03 Jan 2023","The head of the Cherkasy Regional State Administration Ihor Taburets handed over a New Year's gift for the units of the ""North"" command - a quadcopter. ""Let this drone help to compensate for the enemy's losses!"" - Ihor Taburets emphasized and noted that volunteers from SPD-Ukraine and Cherkasy Regional Development Agency also contributed to the gift. https://t.me/operativnoZSU",0.0,0.85,0.15,0.8313,Cherkasy,Cherkasy
12,"10:04 AM, 03 Jan 2023","Died under the wheels of a car: 84-year-old woman was passing on the Avenue of Science in an unknown place The accident happened around 16:30 on January 2. The 48-year-old driver of the Daewoo Lanos, which hit the elderly woman, was driving. The pensioner died from her injuries on the spot. Send news 👉 @Kharkiv_Lifebot 👉",0.171,0.829,0.0,-0.8834,n/a,n/a
13,"10:05 AM, 03 Jan 2023",🦇 More than a thousand bats remained in the Ukrainian Bat Rehabilitation Center for wintering: they are planned to be released in April. How the center works during the war - read in the material of Suspilne Kharkiv,0.103,0.897,0.0,-0.5994,Kharkiv,Kharkiv
